Comment,Predicted Class,Label
subscribed download wil watch depth later excite learn what guy have built,Positive,1
could please do erpnext tutorial,Interrogative,4
hate be program be head i ’ ve chosen wrong carer lame,Negative,2
can please share use sharegpt ?,Interrogative,4
fact video be hour non chatgpt one be around hour kind defeat point,Negative,2
update web browser,Corrective,3
people ned course how ask question ? ah man,Interrogative,4
wel god be halucination have technical background work how fix eror,Negative,2
be not use chat gpt waste time be box rock,Negative,2
nice video,Positive,1
guy make u believe world be stil wel place,Positive,1
i 'm use linux year but watch video great interest apreciate gj guy,Positive,1
much ned beginer linux,Positive,1
please ad english subtitle,Neutral,5
guy remove bracket around timestamps ad one youtube should detect video section let people navigate use interface not may also ned remove milisecond themis posible create bash script stopstart tomcat holy service wel rebot server ?,Corrective,3
why be ubuntu use cloud deployment ?,Interrogative,4
why not use debian instead ubuntu which be window linux do not ad anything,Interrogative,4
description be wrong,Negative,2
be not fuly linux course rather ml course use linux misunderstod caption tag use video,Negative,2
who be expect have practical comand theory base video nothing practical,Negative,2
bad explanation,Negative,2
late posterity but grenwitch meantime should pronounce grenitch meantime be american can forgiven,Corrective,3
i 'd like interject moment,Neutral,5
waste time course do not even teach how first instal driver which be important linux work system,Negative,2
much jargonacronyms use get go beginer comprehend what he 's talk,Negative,2
please not can try cmd,Neutral,5
youtube be put ad video every two minute can not watch,Negative,2
plz make graphql course how make type api graphql plz sir,Interrogative,4
distro be not version distro be combination software which isoinstaler come within example what cal rom android world distro be something like linux world,Corrective,3
linux be family opensource unixlike operating system base linux kernel linux o create linux kernel first myth be wrong like amd graphic card also procesors,Corrective,3
want type content,Positive,1
informative video love,Positive,1
do not have use antivirus linux but ned instal ad file user acount instal ad file rot directory,Corrective,3
linux distro be not linux version acurately diferent operating system be base linux kernel be cal distros distribution,Corrective,3
thank much cover,Positive,1
programer hacker always love linux,Positive,1
want instal linux but wil get sound driver,Interrogative,4
god person bro,Positive,1
wel explain,Positive,1
but linux can not download software web which sentiment,Neutral,5
helpful,Positive,1
god work,Positive,1
be linux faster window,Interrogative,4
efective video,Positive,1
wow,Positive,1
please make video github please,Neutral,5
nc,Neutral,5
god,Positive,1
right,Positive,1
ubuntu be best,Positive,1
st view,Neutral,5
open source be shit,Negative,2
linux be android,Neutral,5
first coment,Neutral,5
hi,Neutral,5
wonderful content,Positive,1
refresh get practical laid back nonhyped overview,Positive,1
finaly can ad machine learn specialist portfolio,Positive,1
stil get how can push much content high quality oftenquickly,Positive,1
love litle bit humour inject image without acknowledge audio god,Positive,1
love content concise nature which deliver,Positive,1
could make step step guide migrate angularfirebase ap firebase sdk v ? would realy helpful kep god work,Interrogative,4
sumarize complex topic short amount time take real skil great video,Positive,1
minor corection acuracy be not eror function,Corrective,3
would love se unsupervised learn explain,Neutral,5
question always mind how do know thing explain chanel ?,Interrogative,4
interest topic,Positive,1
prety god explanation but not perfect opinion mention acquisition cleaning division data training set test set,Corrective,3
which be true cal supervise learn but case type machine learn problem have no clear data easy way divide datasuch use reinforcement learn train agent play game example model learns perform action simulated game environmentso data be generate fly not realy posible divide diferent set,Corrective,3
acuracy be not eror function but metric clasification task eror function can binary cros entropy,Corrective,3
yes,Positive,1
please can make haskel second ?,Interrogative,4
i 'm wonder get gifs image use video,Interrogative,4
machine learn content pls,Neutral,5
pump content like nothing,Positive,1
fire,Neutral,5
create video static site generator,Neutral,5
ned life,Positive,1
right time like time,Positive,1
how much do cost host ml webap phone ap ?,Interrogative,4
unpopular opinion build ai capability surpas humanity independently believe deserves do even detriment human,Neutral,5
can someone explain why be python language choice data scientist ?,Interrogative,4
hola,Neutral,5
be diference machine learn dep learn ?,Interrogative,4
not god one but please do take constructively didnt properly explain what ml be without use dozen new technical term ml be kinda programinghence usage python math but not instruction base,Negative,2
want ml tutorial please,Neutral,5
thank much review things…i wonder quality be decent especialy smart watch earbuds,Positive,1
be kind tensorflow demo past but outdated,Negative,2
prety col content,Positive,1
fel like didn ’ t try hard enough test lighter,Negative,2
great video but be year late lol job market be saturate ml live promise,Negative,2
criminaly underated content creator,Positive,1
be prety god chance youtube recomend video have search stuf related ai ml gogle,Positive,1
focus be not god held box ned work can give thumb,Negative,2
chalenge go beyond second,Neutral,5
satisfied,Positive,1
what ’ s don ’ t get it ’ s how tel “ machine ” output gues be wrong ? how increase level acuracy end aparently human can not interference lean data proces,Interrogative,4
be realy lovely video one who want learn django thank so much super col explanation,Positive,1
acuracy be not los function,Corrective,3
try make machine learn algorithm specificaly design procesgenerate sentence first thing say be eat shit be dishwasher,Neutral,5
ingredient be mis video i 'm not get netflix fel use get watch fireshipthat mis ingredient be sped maybe idk,Negative,2
could have wel,Negative,2
glorify predictive engine,Negative,2
mixed ai ml but god video though,Negative,2
folow step step interest have sort sh key isue github but work awsome thank much be consider get course,Positive,1
vice be not clear cheap sound plz fix sir,Corrective,3
pufy tank algorithmicaly apologise ticket methodicaly exist qua gorgeous mimosa venomous permisible barge,Neutral,5
simple straight point insightful thank cdemy,Positive,1
be rude person do wrong qazi,Negative,2
not god one,Negative,2
damn indian slang,Negative,2
horible,Negative,2
sometimes understand what be tel please ad caption tutorial be much helpful please consider,Corrective,3
video be helpful beginer like thanks share can please send datasets practise thank,Positive,1
god tutorial easy folow thank,Positive,1
be get eror cal unexpected keyword argument 'categoricalfeatures ' why ? idea ?,Interrogative,4
be great course please provide sample file use demonstration,Positive,1
would have great algo be explain sequence mean first supervise unsupervised also clas quiz,Corrective,3
could please discus significance machine learn data science order understand chandrayan typical space mision ?,Interrogative,4
apreciate ur efort make helpful tutorial,Positive,1
request please share copy data set example video,Neutral,5
great sesion,Positive,1
powerful course wel do please may get data source best safe way download anaconda jupiter notebok much apreciate,Positive,1
pt be easy impresive course content start scratch explain suficient example thank simplilearn,Positive,1
video course can aply role data science knowledge video be enough individual give interview ?,Interrogative,4
worth watch,Positive,1
wish video should include subtitle intructors ’ voice be hard listen,Corrective,3
eror linear regresion say onehotencoder categoricalfeature be unexpected,Corrective,3
legend say simplilearn stil reply every coment post video,Positive,1
content be helpful easy understand can share dataset please,Interrogative,4
hey love video,Positive,1
kept ur wordsu make u understand simplethank,Positive,1
much informativewil recomend video student also,Positive,1
be course apropriate people basic python knowledge not experienced panda numpy etc,Interrogative,4
prereg 's video intermediate python programer understand aray 's bayesian probabilty confusion matrix,Neutral,5
litle explanation important code block especialy graphic logistic regresion kmeans cluster,Negative,2
sugest explain code line what do copy paste maybe be how confusion hope understand,Corrective,3
would have great share dataset github,Corrective,3
sir beginer what be prequarities start ml,Interrogative,4
animation leson be beautiful,Positive,1
person who taught kmeans part be bad do not explain code brush,Negative,2
nice video try use explain ml kid however incorect description reinforcement learn,Negative,2
marvelous tutorial,Positive,1
please ad title eng,Neutral,5
wow les minute would force skip video due sophisticated teach methodology,Negative,2
youtube recomend video be example supervise ml be right,Interrogative,4
can learn machine learn dont have program background ? ? please let know,Interrogative,4
please ad transcript auto arabic video video,Neutral,5
python code be show be not clear,Negative,2
many thing be not explain tutorial include code snipet logistic regresion clusteringnot beginersthe tutorial give idea what be underlie proces involve algorithmthe code be copy paste result be show without explanationplease try explain atleast code meaning,Negative,2
be god but be mis code,Negative,2
ur video be clear but audio be not god please maintain god audio,Negative,2
supervise unsupervised unsupervised,Neutral,5
viedeos have bad sound quality dam sure pls check,Negative,2
superb,Positive,1
briliant vedio,Positive,1
be hard be grade th,Neutral,5
tutorial be great realy explanatory be one best but why do generaly have lot echo echo reduces concentrationthanks,Corrective,3
great clas kep god work thank,Positive,1
get dep idea dep learn an thanks simplilearn,Positive,1
video quality be god expect wel sound quality describe leson wil great sound quality be wel thank awesome course,Corrective,3
have doubt what be diference neural network neural network python ?,Interrogative,4
great video but sound quality be por upcoming video improve sound quality wil useful u,Corrective,3
complete yet but realy impresive far wil update watch complete video,Positive,1
helo team can please explain how create custom dataset how use model train tensorflow thanks advance,Interrogative,4
be unclear watch first part video point code data set learn data set test datase,Negative,2
explain why parameter be setup value especialy convd parameter why should explain why do,Negative,2
have one doubt how do come know output shape convolutional layer maxpoling layer x ? help please,Interrogative,4
like atom python editor,Neutral,5
love course but be costly comparison others,Negative,2
eror slide be explain rn say many many slide many one,Corrective,3
please reply,Neutral,5
be not true activation function be threshold function,Corrective,3
video be ml housewife do not actualy explain math behind gradient descent neural network concept,Negative,2
why be sound bad video ?,Interrogative,4
amaze leson clear helpful explanation,Positive,1
nice wish explain how exactly weight change backpropagation,Positive,1
video be awesomebut be mistake should negative slope weight ned increase instead reduce,Corrective,3
point graph be result training example ? have example know gradient ned point right ?,Interrogative,4
im confuse think mixed positive negative slope positive slope should decrease weight vice versa,Corrective,3
not god explanation,Negative,2
cramed derivation not satisfied explanation,Negative,2
speak louder,Corrective,3
improve,Corrective,3
thanks harsh be nice short tutorial,Positive,1
nice explanation concept brief understandable awesome,Positive,1
god explanation be somewhat also important note curve should diferentiable,Positive,1
god explanation highlevel concept gd,Positive,1
always great video ibm,Positive,1
can explain convex thing brief,Interrogative,4
ibm how make neural network stock market ?,Interrogative,4
confuse part video be how manage write everything backwards glas flawlesly,Interrogative,4
know steve ker work ibm,Neutral,5
nice learn min video hour long boring lecture,Positive,1
visualise saw nothing scren,Negative,2
thank much fc post content unique project have resume hope everyone enjoys,Positive,1
great tutorial but taste be much duplicate code project auth type instance create enum tw be also mis import sugestion recoil,Corrective,3
great work love content,Positive,1
how wil tech journey without fc owe everything know guy,Positive,1
tutorial be awesome,Positive,1
finaly make tiny website like use django tailwind but be next,Positive,1
do product have code execution external server ? didnt se ful video though,Interrogative,4
that 's mindblowing,Positive,1
wel sound quality would nice but thank anyway,Corrective,3
can do project microservice architecture deployplease ?,Interrogative,4
watch whole vid can also make side side ? right ?,Interrogative,4
can also have project dsa,Interrogative,4
no page routerold fashion use ap routersnextjs new feature not stable,Corrective,3
please ad urdu subtitle,Neutral,5
what 's thought drupal ?,Interrogative,4
please tel v code theme name ? ?,Interrogative,4
believe be not get sugestion have copilot run,Corrective,3
ad resume flock,Negative,2
watch first,Neutral,5
young brother want not give django wel do bro,Positive,1
chap be god thanks much man,Positive,1
sir make tutorial document track system web base mern stack source code,Neutral,5
thanks tutorial bos tomi,Positive,1
could have ad link original video get template,Corrective,3
why y'al put django large next man ? y'al tryna say he 's unchained ? ?,Interrogative,4
be api paid,Interrogative,4
mis ad github url,Corrective,3
acent lok nigerian,Neutral,5
hey be first,Neutral,5
django sht be stil alive,Interrogative,4
great course quickly ramp go basic watch fast fowarding get couple day enough knowledge start building go tuis thanks,Positive,1
wel make tutorial great atitude tutor interest project thanks lot lok forward work go program language future,Positive,1
think be prefer wel asertive way learn program language wel do,Positive,1
thanks course think necesary make complete rust lang course hr would awesome,Positive,1
finaly course sem rely have lok tutorial learn language proper tutorial read somewhere language bridge gap java make thing prety easy learn thanks course botdotdev,Positive,1
scary third time row drop exactly topic i 'm interested ago start learn angular next day video drop thing typescript return go gogle io yesterday be,Negative,2
finaly update go course,Positive,1
launch hr rust course project please,Neutral,5
grateful video ca n't wait get hand,Positive,1
thank much provide premium course fre,Positive,1
also can use print println use import fmt,Corrective,3
wow no way be think woke morning get ready finish one program fre code camp ned make another golang course what heck,Positive,1
guy create army,Positive,1
yehaw thanks much exactly what ned right,Positive,1
can finaly ad 'golang developer ' resume,Positive,1
briliant way market product,Positive,1
question what be best computer cod point view ?,Interrogative,4
how do relate previous course ?,Interrogative,4
think cury be concept be explain but maybe golang context explanation be god enough,Negative,2
sql go emitjsontags true sqlcyaml make sqlc generate go tag not ned create custom formater,Corrective,3
i 've start learn golang saw video,Positive,1
oke could not decide which udemy go course startfolow use one thanks botdev lane,Positive,1
elixir video one come nice,Positive,1
guy be gem,Positive,1
helpful chanel beginer,Positive,1
want ful course quality analyst begin advanced python automation test,Neutral,5
can recomend go first program language should start python,Interrogative,4
please make tutorial unity game make begining advance plz,Neutral,5
mean how ? last night go bed be search go mean thanks lot love,Positive,1
subtitle pls,Neutral,5
have compose new mathematical discovery wel creative urdu literature form short bok page short introduction bok be available youtube chanel,Neutral,5
please make react ja typescript project please,Neutral,5
be unable view transcript video can someone please coment,Interrogative,4
why ca n't save playlist ?,Interrogative,4
want php course project,Neutral,5
strange decision pick sqlc work window,Negative,2
oh this 'l fun,Positive,1
east west fre code camp always best,Positive,1
suck want pay leson have copy paste everything,Negative,2
sototitoli videodont work,Negative,2
why be jumpy,Interrogative,4
be get frustrate i 'm not get html cs how learn sir please explain be not even textbok html cs,Negative,2
sir begin video ned calm ego there 's absolutely no ned se face overview frecodecamp 's video,Negative,2
understand why go be famous,Negative,2
go lang be joke,Negative,2
want php course project,Neutral,5
actualy want know why learn elixir ?,Interrogative,4
bruh clash clan,Neutral,5
pertamax,Neutral,5
okay,Neutral,5
let 's go,Positive,1
damn be reading mind be think learn elixir today morning open yt se,Positive,1
real nice,Positive,1
please please make course functional program haskel,Neutral,5
ok i 'm realy interested,Positive,1
be function have return statement ? visualize function recursively function cal function inside another inside another inside another,Interrogative,4
favorite program language,Positive,1
nice be reading programer pasport elixir,Positive,1
great video but project stats implement mean apear twice,Corrective,3
show example program til point supermarket example thanks nice,Positive,1
excelent presentation nicely explain,Positive,1
timeline be broken around hour mark minute,Negative,2
hapy se be already fel language have much tutorial content youtube,Positive,1
why would go dead language fluter,Interrogative,4
totaly useles without linux,Negative,2
i 'm not bot,Negative,2
aupa atleti,Neutral,5
dude,Neutral,5
sory but what be use learn study create new tol ? artificial inteligence wil replace u anyway think ?,Interrogative,4
voice actual tutorial record be way how can anyone folow this ?,Interrogative,4
why wil someone use maui instead fluter rn,Interrogative,4
net,Neutral,5
do work linux ?,Interrogative,4
man eye can ’ t handle light,Negative,2
provide azure course,Neutral,5
be face problem i 'm video be not sync audio,Negative,2
audio not synched video,Negative,2
woderful,Positive,1
be opinion maui be ful bug therefore even many month developer have no interest,Negative,2
even microsoft use technology like blazor push maui which wil probably another unpopular technology no one ned,Negative,2
want low level course compiler level one like lvm cpython,Neutral,5
yes many many thanks guy be amaze love,Positive,1
be posible divide course hour ? thank much hard work,Interrogative,4
holy shift ca n't listen indian english,Negative,2
could get people without indian acent ?,Interrogative,4
realy bad explanantion guy doesnt know basic comunication man,Negative,2
i 'm sory but ca n't stand acent,Negative,2
terible can not understand what say,Negative,2
understand thing least put subtitle,Negative,2
video but person talk,Neutral,5
wonder boy,Positive,1
like without even start watch,Positive,1
want like find video useful but realy could have benefit script sometimes lecture align note have scren note be god but be lot ramble which would actualy fine lecture hal but which becomes uncomfortable online video,Corrective,3
chanel uploaded lot tutorial aim beginer one two would sufice basicaly nothing advanced,Negative,2
nice video but ayush be repeat word frequently gues alone ad like minute video,Corrective,3
bos,Positive,1
thanks ayush greting uruguay,Positive,1
day,Neutral,5
what be notetaking ap ?,Interrogative,4
what be pre requisite require start course ?,Interrogative,4
please english subtitle,Neutral,5
stayed night watch thought would put aslep,Positive,1
i 'm quen ny even think guy be dificult understand can understand anything ned subtitle sem genuinely know what he 's talk but i 'm strain get what he 's say,Negative,2
ca n't understand sigle sentence speaks indian english be space great fre tutorial youtube,Negative,2
thats hel big video regresion alone thanks,Positive,1
what be wel software enginering program macbok air macbok pro inch core gb memory gb storage,Interrogative,4
thank ayush amaze content,Positive,1
do humanity favor wel do,Positive,1
thank finish realy great stuf one god regresion video,Positive,1
grate thanks lot almoust hour obut regresion analysis know what wil do near wekend,Positive,1
wel do kid be definitely genius,Positive,1
want know wil folow course second part,Interrogative,4
style be waste time,Negative,2
bear,Neutral,5
no ofense but think spends lot time write csnot ideal impatient,Negative,2
yay,Positive,1
be one who 's confuse explanation ?,Interrogative,4
plese meka chaybot pythun,Neutral,5
german have say should lok how say zustand,Corrective,3
oh that 's fantastic redux,Positive,1
please make course game maker,Neutral,5
why not typescript,Interrogative,4
wil sure use vite react right ?,Interrogative,4
watch lot tutorial please want show exact technology prepare cs tutorial,Corrective,3
i 'm go create todo ap next use course firebase,Positive,1
come right timejust start lok zustand yesterday,Positive,1
timestamps please,Neutral,5
wonder not use provider can consider pro without provider ca n't reuse instance store diferent part ap there 's already isue stackoverflow question lack ability zustand,Negative,2
month i 'm glad se there 's expand video zustand can continue building ecomerce aplication but please next time focus topic take longer time focus style which necesary thanks,Neutral,5
thank frecodecamp publishing video fulstack linkedin clone use react firebase hapy,Positive,1
would amaze make music theory ful course arent many can find internet since guy make best ful course yt video think wil realy benefit make ful music theory course since there alot musician not alot course online help,Corrective,3
sometimes wonder how student be lucky nowadays have fre aces tutorial build schol project back day be gogle forum discusion lot debug thank instructor give fre knowledge,Positive,1
go wekend but hey nishant thank amaze course voice enough energy excite developer create almost anything,Positive,1
would great someone do one requirement gathering test case deveopment endtoend say ecomerce project thanks,Positive,1
great content have one question why do use usememo instead usefect ?,Interrogative,4
hr paper month real life but i 'm god,Neutral,5
can understand logic why do style body can use example div ad pad maxwidth change body be unclear,Negative,2
be lok depth firebase video sudenly apear page have uploaded video related firebase thank,Positive,1
get ta say be lot place code get realy repetitive hope build ap portfolioslearnings clean bit,Corrective,3
instead use usenavigate hok move login register vice versa cant use link react router dom way simpler implement way,Corrective,3
first make hour long teach video be not smal task apreciate but have couple fedback point be video people already have experience cod be not teach much should explain stuf detail why thing be one way another video be complete newbie want type along have something work be jumping fast similar clas file make confuse also one example like around min be eror ap skip what would gues min jumped be solve course be already do no skip part solve isue people wil have isue bit be helpful,Corrective,3
complete reading post firebase notice profile pop portion be skip,Corrective,3
damn guy be rock,Positive,1
why would clone monstrosity ? joke apart thanks wonderful content fc,Interrogative,4
how notification chat functionality ?,Interrogative,4
know vanila javascript do go basic concept react built tol be walk building ap ?,Interrogative,4
complete course one thing must say thathis teach skil be surprisingly amazingthanks nishant efort,Positive,1
man hate cs maybe use botstrap basic design focus be actual build,Negative,2
be realy nice tutorial learn many thing hour,Positive,1
ned nodejs expres typescript mongodb,Neutral,5
let do,Positive,1
oh snap be go fun,Positive,1
hi how would deploy ap ? can upload netlify wil work ? ? please let know thanks,Interrogative,4
be no chat functionality ?,Interrogative,4
be go teach u shady busines practice wel,Interrogative,4
literaly get email recruiter name nishant kumar start play video,Neutral,5
nice clone,Positive,1
do anyone finish this ?,Interrogative,4
cs 's strugle,Negative,2
hi brother,Neutral,5
love frecodecamp but lately quality tutorial go significantly hate critique but tutorial be dumb hard folowthe guy clearly not plan project would helpful content be vet thoroughly,Negative,2
hr min video be not explain how setup profilepopup skip,Negative,2
around min be eror ap skip what would gues min jumped be solve course be already do no skip part solve isue,Corrective,3
knowledge backend be compulsory project not ? ned response plz,Interrogative,4
i 'd rather listen automate voice,Negative,2
omg acent,Positive,1
sir plz upload least one fuly functional project react native firebase strapi backend plz sir,Neutral,5
yeah have quit hour lot thing be pop blue without explanation guy sem sometimes lose,Negative,2
please stop throw unlimited ad mi saw ad,Negative,2
why would anyone ever use firebase something like this ?,Interrogative,4
worth half milion dolar,Positive,1
god functionality but por design do not lok like linkedin,Negative,2
st one plz like,Neutral,5
could chatgpt have make,Interrogative,4
why frontend devs have become slave tyra react j web development be haunt unwanted library,Interrogative,4
nice job but try improve acent always problem indian people bad acent,Corrective,3
wish english prononciation be wel project be uploaded github least cs dont bother write manualy,Corrective,3
how contact have doubt can get medias,Interrogative,4
get gpt,Neutral,5
ehpiyai,Neutral,5
hey broken,Neutral,5
no ofense julio casal 's video be way easy understand imo,Negative,2
who be ten programer like,Neutral,5
st coment like,Neutral,5
minimal epiyaei,Neutral,5
request java spring bot course,Neutral,5
i 'm gon na hear next video nightmare,Negative,2
name be broken god one title,Neutral,5
what security minimal api,Interrogative,4
plz anyone tel minimal mean ? ? ?,Interrogative,4
can guy do tutorial rpa development ?,Interrogative,4
should have put rest andor swager something similar title clear apis general but specificaly rest apis use swager,Corrective,3
amaze video place project create regular web api project,Positive,1
architecture patern use minimal api ?,Interrogative,4
amaze course love,Positive,1
also please explain deployment minimal api i,Neutral,5
progres take place outside comfort zone michael john bobak,Neutral,5
realy simple tiny web api 's might make sense especialy big hury but personaly i 'l stick use controler majority project,Positive,1
thank much awesome valuable content,Positive,1
code lok super ugly lol,Negative,2
dont like indian acent,Negative,2
like,Positive,1
people who be great honest,Positive,1
humble request,Neutral,5
prerequisite ?,Interrogative,4
elon musk want location dude,Neutral,5
twiter logo be not show run program ned help android,Negative,2
be ap built scratch be beginer friendly,Interrogative,4
how build youtube clone ?,Interrogative,4
have say be nice,Positive,1
be basic ?,Interrogative,4
be new fluter can anyone sugest best video youtube get start beginer like,Interrogative,4
okwow what timing,Positive,1
i 'm search fluter course mind second notification come phone,Positive,1
unable find instalation section doc apwrite,Negative,2
can do complete course react native,Interrogative,4
kep go guyz,Positive,1
which paton code be write ?,Interrogative,4
be tutorial god beginer who have no idea fluter ?,Interrogative,4
hey man either type have lok use dartz ?,Interrogative,4
want know dart be prerequisite tutorial do explain dart ? ? ? watch video yet,Interrogative,4
wait thank,Positive,1
like perfect indian acent smash like buton even harder great course rivan,Positive,1
guy should make fluter video,Positive,1
why ca n't get realtime update profile edit folow even have exact code configuration apwrite console ?,Interrogative,4
what send push notification device inap notification ?,Interrogative,4
amaze think,Positive,1
first,Neutral,5
why do presenter change ?,Interrogative,4
video be india speak people,Negative,2
be new,Neutral,5
be something new,Neutral,5
thank everyone check tutorial realy mean lot i 'm super excite se personal website hapy cod,Positive,1
amaze video be use next sanity year be great recap new important stuf thanks,Positive,1
much ned course new ap directory be introduce,Positive,1
thank much kapehe frecodecamp wonderful tutorial,Positive,1
anyone be get unknown eror around ad 'site ' 'studio ' folder move file around try delete 'next ' folder run 'npm run dev ',Corrective,3
anyone stuck check coment find solution which do make studiopage arow function almost give sanity,Corrective,3
be posible make sanity page static ? would like use something like nextsitemap create sitemaps,Interrogative,4
be great presenter kapehe thank,Positive,1
would work developer portfolio showcase ? smal comerce site ?,Positive,1
please tel how output structure what should specify type page,Interrogative,4
please use standard v code theme take hour,Corrective,3
be how must real tutorial thank act like real teacger,Positive,1
be admin route wel protect ?,Interrogative,4
do anyone know how make image field optional ? i 'm get uncaught eror leave image project,Interrogative,4
great job acount be excelent resource anyone lok learn program,Positive,1
thank much save life,Positive,1
what font familytheme be use vscode ?,Interrogative,4
kaphe folow since couple year great teacher,Positive,1
be dire ned thanks frecodecamp,Positive,1
sanity be interestingthanks fc,Positive,1
actualy lok something like might pul,Positive,1
hi be super curious botomup terminal which emulatorplugin be it ? ?,Interrogative,4
lok like never explain ned sanity acount first fel bit confuse,Negative,2
thanks that 's realy col stuf,Positive,1
do modern web realy ned variety technology library framework perform task ?,Interrogative,4
groq query inside category have title how display title article,Interrogative,4
be stuck check configuration file be solution ?,Interrogative,4
why have create schema nextap why not sanitystudio repo,Interrogative,4
kep get eror say aces content ned ad folow url cors origin sanity project cors url ad localhost but already have cors origin,Corrective,3
what no ap directory ? ?,Interrogative,4
im eror aces dyanamic page admin eror syntaxeror unexpected token json position jsonparse anonymous,Negative,2
can anybody say what font be use here ?,Interrogative,4
